Song code,Song Name,Song Lyrics Sentiment Compound,Comments Sentiment Compound
1,Is It Over Now taylors version from the vault,0.0772,0.2259479499999999
2,Now That We Dont talk taylors version from the vault,0.1541,0.2526563
3,Slut Taylors version from the vault,-0.5525,0.26989805
4,Style,0.9382,0.19381645
5,Cruel Summer,0.0307,0.21051455
6,say dont go taylors version from the vault,-0.6377,0.2594984999999999
7,Wildest Dreams,0.9359,0.2418165
8,Blank Space,0.1894,0.1271742
9,Out of the Woods,0.9894,0.1726572999999999
10,Suburban Legends taylors version from the vault,0.8883,0.2272123140071831
